street_edge_id,region_id,x1,y1,x2,y2,geom
3185,"EJIDO LOS MORENO",-102.0242608,20.3278716,-102.024198,20.3276304,0102000020E6100000030000003BA8C4758C8159C0E72CFD95DF5334402F59CB538C8159C0B62C5F97E1533440C9A42B7D8D8159C08649A764EF533440
3186,"EJIDO LOS MORENO",-102.0243482,20.3281407,-102.0242608,20.3278716,0102000020E610000002000000C9A42B7D8D8159C08649A764EF533440DBADC0EB8E8159C08EFC660701543440
3187,"EJIDO LOS MORENO",-102.0298985,20.3285591,-102.0312912,20.3296175,0102000020E61000000E000000C429CEAC008259C075B0FECF61543440182E6123FF8159C0692D16D05554344007DD1445FE8159C006BCCCB0515434405BFB4C07FC8159C072929C024F543440E77DD23FF78159C03824FFDD4C543440177BD404F68159C0A59EAAE749543440CA28E0E8F48159C0EE76BD344554344048F13B97F38159C05B4D8D86425434400D558C4EF18159C01579ED2D40543440DFC2BAF1EE8159C028942AF63C5434405DEAD621ED8159C09C470F8D385434409964E42CEC8159C050EA814534543440DB560E88EB8159C047205ED72F543440C4EC65DBE98159C09E4DFD721C543440
3188,"EJIDO LOS MORENO",-102.0298985,20.3285591,-102.0303601,20.3284903,0102000020E6100000020000009C267D6BF18159C0A08DB7F017543440C4EC65DBE98159C09E4DFD721C543440
3189,"LOS MORENO",-102.0193899,20.3209472,-102.0191756,20.3221111,0102000020E61000000200000065B84B2C3A8159C0B82D80DF75523440DA9722AF3D8159C026BE7F9829523440
3190,"LOS MORENO",-102.020967,20.3224111,-102.021077,20.3221055,0102000020E610000002000000A96C5853598159C09A5C8C8175523440E5D2F885578159C00D5EAA8889523440
3191,"LOS MORENO",-102.0214994,20.3220981,-102.0228802,20.3221246,0102000020E61000000300000076AE83DE768159C0B13CFEC1765234400F1945C56E8159C0AEC8F9AC7C5234408DF8043F608159C08F9A650575523440
3192,"LOS MORENO",-102.021077,20.3221055,-102.0214994,20.3220981,0102000020E6100000020000008DF8043F608159C08F9A650575523440A96C5853598159C09A5C8C8175523440
3193,"LOS MORENO",-102.0201841,20.3220271,-102.021077,20.3221055,0102000020E610000002000000A96C5853598159C09A5C8C81755234408C5940B24A8159C0FCEC365E70523440
3194,"LOS MORENO",-102.0204023,20.3214163,-102.021643,20.3214402,0102000020E610000003000000FD4B5299628159C0A59EAAE749523440DF5740FC578159C0BF96FCF444523440D8D072454E8159C0BDE6B05648523440
